close,epoch,high,low,open
1.09469,1704218400,1.0956,1.09464,1.09506
1.09463,1704222000,1.09502,1.09431,1.09471
1.09435,1704225600,1.09514,1.09424,1.09466
1.09414,1704229200,1.09435,1.09385,1.09431
1.09416,1704232800,1.09487,1.09395,1.09417
1.09418,1704236400,1.09441,1.0941,1.09421
1.09495,1704240000,1.09506,1.09415,1.09418
1.09515,1704243600,1.09549,1.0945,1.09496
1.09525,1704247200,1.09532,1.09487,1.09516
1.0961,1704250800,1.09623,1.09489,1.09526
1.09625,1704254400,1.09626,1.09589,1.0961
1.09514,1704258000,1.0963,1.09514,1.09624
1.09598,1704261600,1.09609,1.09512,1.09512
1.09603,1704265200,1.09628,1.09516,1.09586
1.09528,1704268800,1.09652,1.09504,1.09605
1.09364,1704272400,1.09564,1.09349,1.09528
1.09282,1704276000,1.09392,1.09263,1.09365
1.09194,1704279600,1.09298,1.09158,1.09283
1.09169,1704283200,1.09322,1.09147,1.09198
1.09216,1704286800,1.09301,1.09104,1.0917
1.09186,1704290400,1.09263,1.091,1.09216
1.09046,1704294000,1.09387,1.08981,1.09184
1.09082,1704297600,1.09183,1.09027,1.09045
1.09069,1704301200,1.09103,1.09034,1.09083
1.09063,1704304800,1.09149,1.09027,1.09065
1.09173,1704308400,1.09258,1.08931,1.09061
1.09213,1704312000,1.09233,1.09151,1.09175
1.0922,1704315600,1.09236,1.09189,1.09213
1.09214,1704319200,1.09233,1.0916,1.09219
1.09261,1704322800,1.09277,1.09215,1.09215
1.09229,1704326400,1.09267,1.09197,1.0926
1.09179,1704330000,1.09243,1.09166,1.09226
1.09195,1704333600,1.09202,1.09162,1.0918
1.09263,1704337200,1.09308,1.09195,1.09195
1.09261,1704340800,1.0929,1.09248,1.09263
1.09267,1704344400,1.0927,1.09221,1.09262
1.09325,1704348000,1.09347,1.09211,1.09268
1.09375,1704351600,1.09439,1.09296,1.09326
1.09533,1704355200,1.09559,1.09346,1.09377
1.09676,1704358800,1.09693,1.09454,1.09533
1.09559,1704362400,1.09721,1.09544,1.09676
1.0948,1704366000,1.0958,1.09462,1.09557
1.09526,1704369600,1.0956,1.09469,1.0948
1.09471,1704373200,1.09553,1.09329,1.09526
1.09456,1704376800,1.09507,1.09383,1.09471
